Year,Month,DayofMonth,DayOfWeek,Origin,Dest,DepTime,ArrTime,UniqueCarrier,DepDelay
2024,5,2,6,LAH,SMP,420,1153,NK,119
2023,2,14,5,SMP,ABQ,1231,434,DL,33
2018,5,9,3,JFK,ABQ,1718,649,DL,107
2012,4,12,2,JFK,JFK,653,1856,AA,197
2010,1,22,4,ABQ,SMP,415,1426,DL,-3
2018,5,19,3,AAR,LAX,1959,659,DL,44
2012,1,21,3,JFK,RMP,234,1153,AA,68
2020,6,9,3,LAH,SMP,250,617,NK,75
2019,12,5,3,LAX,JFK,1022,1533,DL,9
2016,6,16,6,SMP,LAH,1325,618,AA,55
2023,2,15,4,LAH,LAH,1940,1626,NK,15
2013,7,2,4,RAM,RMP,1327,2023,DL,80
2013,6,3,6,JFK,LAH,1232,2354,AA,52
2010,8,20,2,LAX,ABQ,646,2147,DL,45
2010,9,16,1,JFK,LAX,2355,810,AA,169
2014,9,31,1,SMP,LAH,419,1913,HA,28
2024,1,21,4,SMP,SMP,144,156,DL,163
2012,8,5,3,JFK,ABQ,746,1342,DL,52
2019,11,3,6,LAX,AAR,244,1549,NK,161
2016,12,5,1,LAX,AAR,1121,749,AA,73
2015,11,31,7,JFK,LAX,179,837,AA,43
2018,6,3,6,JFK,SMP,1746,110,NK,61
2023,1,3,7,LAX,ABQ,1645,1551,DL,172
2019,9,25,4,JFK,SMP,2152,1657,DL,90
2011,9,7,4,LAX,SMP,133,2354,NK,-18
2020,2,21,3,ABQ,RMP,322,1655,HA,127
2013,11,26,2,LAX,ABQ,353,30,DL,36
2015,10,8,3,RMP,AAR,1817,1925,NK,156
2011,8,8,2,AAR,LAH,942,340,DL,181
2015,4,15,5,AAR,RAM,1043,319,HA,119
2015,5,20,5,AAR,RMP,1445,1151,HA,154
2019,9,22,3,LAX,AAR,638,1250,NK,115
2010,3,21,4,LAH,SMP,1533,1321,AA,0
2021,3,16,5,JFK,JFK,1127,1055,NK,72
2015,6,23,5,LAH,ABQ,433,1829,HA,-26
2015,11,27,1,AAR,LAH,109,2358,NK,110
2015,5,29,4,JFK,RMP,732,179,DL,131
2010,8,31,2,AAR,AAR,1259,135,AA,50
2020,12,6,1,JFK,SMP,87,225,NK,-7
2023,3,2,3,JFK,AAR,97,010,HA,10
2012,11,10,5,SMP,SMP,1935,649,NK,94
2018,4,10,6,LAX,RAM,1354,1655,HA,49
2019,7,25,5,RAM,LAH,1843,218,DL,-30
2014,5,14,1,LAH,LAH,58,175,NK,69
2016,5,26,7,RMP,LAX,536,1054,HA,52
2017,10,1,4,JFK,LAH,2013,2338,NK,34
2012,3,22,4,LAX,LAH,930,178,NK,43
2020,10,24,5,ABQ,LAH,636,181,HA,113
2018,2,17,7,ABQ,RMP,36,1814,HA,135
2023,3,20,4,LAH,RMP,158,2343,DL,50
2016,5,22,6,JFK,SMP,822,920,HA,-25
2010,7,4,2,RAM,AAR,166,1024,HA,-23
2010,9,15,5,JFK,RAM,713,1655,DL,138
2022,11,6,5,ABQ,RAM,1355,1942,HA,-21
2019,10,9,2,AAR,AAR,243,020,AA,106
2011,5,30,4,JFK,RMP,2041,2311,NK,176
2023,12,7,6,LAH,SMP,130,2245,HA,72
2017,4,17,5,LAX,LAH,020,1826,AA,96
2016,12,21,5,JFK,LAX,2148,161,AA,181
2020,12,22,3,LAX,RMP,1817,226,NK,169
2017,4,1,5,ABQ,LAX,1444,751,DL,-19
2024,3,12,6,LAX,ABQ,2118,348,DL,145
2023,11,15,6,AAR,ABQ,952,128,DL,26
2017,10,21,4,LAX,LAX,153,236,DL,186
2015,11,19,6,AAR,LAX,1356,171,HA,-5
2017,8,27,7,JFK,RAM,1831,40,NK,57
2024,3,17,1,ABQ,LAX,1643,1923,AA,47
2024,10,17,2,LAX,RMP,858,24,HA,-2
2024,6,24,6,RAM,SMP,197,537,NK,144
2016,1,30,5,AAR,RMP,848,2015,HA,17
2018,8,31,7,RAM,RMP,1035,1036,NK,4
2018,9,13,6,AAR,JFK,227,452,AA,114
2021,11,7,6,AAR,JFK,1248,333,AA,33
2024,8,22,7,LAH,RMP,523,1648,DL,62
2022,2,9,4,RAM,RMP,242,1111,AA,143
2018,9,27,7,LAH,LAH,514,847,HA,158
2012,8,29,7,ABQ,RMP,1518,2348,DL,31
2019,5,18,1,RMP,ABQ,1112,258,DL,34
2018,7,22,3,LAH,LAH,1053,1414,DL,-22
2023,4,30,3,AAR,RAM,945,615,HA,61
2019,9,9,7,ABQ,LAH,359,146,HA,116
2021,6,26,5,AAR,LAX,168,1923,DL,58
2014,6,30,3,JFK,ABQ,941,24,NK,-25
2024,8,29,5,ABQ,AAR,1326,1324,DL,98
2013,6,17,6,LAX,RAM,837,238,HA,46
2015,5,12,2,SMP,SMP,1640,1332,AA,46
2018,6,20,7,SMP,JFK,642,1519,AA,1
2022,10,26,2,AAR,RMP,958,627,AA,193
2010,1,8,3,AAR,LAX,642,1855,DL,103
2023,10,22,1,RAM,SMP,1922,2249,DL,61
2014,12,28,7,RMP,ABQ,1746,1648,DL,126
2023,12,15,5,SMP,RMP,2147,237,NK,118
2023,2,1,3,LAX,LAX,729,2235,AA,-16
2023,7,16,3,ABQ,SMP,1420,136,NK,4
2013,7,23,3,AAR,AAR,145,2248,NK,65
2023,9,7,6,SMP,RMP,416,1039,NK,120
2014,12,25,7,ABQ,LAX,135,150,NK,62
2012,4,2,7,RMP,RAM,859,2226,AA,192
2012,8,24,1,SMP,LAH,045,88,HA,77
